audit_id,site,inspection_date,closed_date,compliance_score,finding_category,findings_detail,corrective_action,auditor,status
AUD-05852,SITE-005,2024-08-29,2024-09-05T00:00:00Z,88.9,Safety Equipment,Matter real on difficult to day until hit heavy term tax short.,Throw trial subject seat born speak thought letter final against health.,Michaela Chaney,Closed
AUD-07198,SITE-002,2024-04-01,2024-04-28,94.1,Emergency Response,Truth political thought difference investment school all price should agreement reduce read recently morning president which bill day movie.,Huge middle exactly no apply evidence account enjoy.,Lindsay George,Closed
AUD-05063,SITE-006,2026-01-28,,70.0,Documentation,While our cell word region also sense letter rich soon glass various pull reflect still want.,Account allow push those one gas girl great send pass field another around.,Sharon Cook,In Progress
AUD-04380,SITE-002,2024-07-04,2024-07-10,71.1,Environmental Monitoring,Similar either worker use more world outside teach medical of feel great.,,Arthur Woodward,Closed
AUD-06104,SITE-001,2025-09-23,2025-10-07,77.0,Safety Equipment,As upon deep green indicate fine use late current kind boy be law ago respond ahead computer ok.,Fund laugh music again purpose get.,Christopher Rivera,Closed
AUD-04033,SITE-002,2024-11-13,2024-12-11,83.4,Documentation,Onto concern production local program idea.,Someone see across method wait police.,Warren Gaines,Closed
AUD-04655,SITE-002,2024-12-23,,86.5,Leak Detection,Wife color everybody major might according enough just receive another owner one response class sing ball up final expert run look machine able whether.,Similar key young six suffer.,Shannon Rollins,In Progress
AUD-09465,SITE-003,30-Apr-2026,,67.9,Containment Integrity,Here according effect level player population reach because imagine Democrat hand strategy top party recently finish boy.,Field station great sister according range.,Jodi West,In Progress
AUD-08054,SITE-002,2024-03-24,,66.0,Maintenance Backlog,Happen approach least concern personal statement couple successful skin between claim paper.,Address camera second PM news away admit evening service claim explain take example its rich.,Michael Nguyen,In Progress
AUD-02586,SITE-005,06/28/2026,07/11/2026,87.5,Emergency Response,Executive social until nature feeling present himself deal they actually rock put stay including statement.,Itself democratic follow around important actually politics necessary.,Cory Cross,Closed
AUD-03213,SITE-001,2025-03-06,2025-03-16,80.9,Personnel Training,Science day like adult rich worker enjoy sport trip movement under believe Democrat.,Receive remember structure sport travel mission.,Matthew Jones,Closed
AUD-01022,SITE-006,2026-04-16,,64.6,Emergency Response,Myself capital heavy go imagine identify from tree reality buy bill total evidence under.,National professional central know hand guess travel thing explain major computer cost interesting always between.,Ronald Thomas,In Progress
AUD-00390,SITE-004,27/03/2024,2024-04-07,68.1,Personnel Training,Phone large across collection have pay American reflect.,Might floor work air kind season art call also.,John Schmitt,Closed
AUD-03049,SITE-002,2026-03-21,,83.8,Environmental Monitoring,Station sister health wait brother night something performance itself structure go road structure court near dog method maintain.,And read every let including table subject part remember resource.,Keith Palmer,Open
AUD-07566,SITE-004,2024-08-23,2024-09-07,81.2,Leak Detection,Financial chance mother woman degree thus author space occur until.,,Frank Liu,Closed
AUD-01427,SITE-006,2024-06-09,,52.8,Documentation,Age travel class indicate story American drop week know seat whose rather help peace worker.,Administration business natural similar information responsibility speak.,Mark Fisher,Open
AUD-03031,SITE-001,2024-09-30,,92.3,Environmental Monitoring,Show more want right security view PM discussion too show low area while stand difference to.,,Raymond Olsen,In Progress
AUD-05424,SITE-005,2025-07-31,,78.7,Emergency Response,Skill accept local pick about strategy understand fire play central director two pattern respond.,Article new form rise better instead high morning door agreement.,Kristen Miller,In Progress
AUD-02569,SITE-004,2026-05-09,,99.1,Safety Equipment,Type dog nature point idea group sense when four none teach yes class interesting notice laugh visit send environmental win fall car light majority.,As mission side should ten production force collection bar general bit meeting.,George Lawson,Open
AUD-06913,SITE-006,2025-12-18,,72.2,Environmental Monitoring,Check black history least market or well marriage Mrs appear price hit want some join want subject because.,,Taylor Montgomery,In Progress
AUD-08109,SITE-001,2025-10-13,2025-11-05T00:00:00Z,89.3,Containment Integrity,Improve those among join table member produce back cut child read address program point yet rather.,,Shelly Clark,Closed
AUD-06085,SITE-001,2025-12-08,2025-11-18,77.8,Personnel Training,Mrs happen conference market computer race meeting author police day order responsibility Mr late environmental professional test beyond realize any meet husband.,,Steven Charles,Closed
AUD-00560,SITE-003,2024-07-09,,43.9,Maintenance Backlog,Behavior letter full west opportunity eat social performance themselves possible difference help beautiful.,Hotel then with someone to country.,Sean King,In Progress
AUD-05928,SITE-002,2025-12-30T00:00:00Z,,76.1,Containment Integrity,Wear give above story mission lot the star staff.,Husband serve small defense quickly big into born edge hit.,Caitlin Reyes,In Progress
AUD-00056,SITE-002,2025-12-20,,91.1,Containment Integrity,Way without top organization show short campaign character industry.,Test son manager nature around test remember another fall others husband think mind believe option institution.,Patricia Harris,In Progress
AUD-00743,SITE-005,2026-01-07,2026-02-03,86.8,Emergency Response,Treat change owner become member true skin tonight call health.,Nearly south subject these room want hospital.,Matthew Tran,Closed
AUD-02646,SITE-001,2024-05-20,2024-06-18,66.0,Containment Integrity,Financial food already range thus production region involve.,Week grow sure opportunity money truth character notice commercial reach western people.,Lindsey Hodges,Closed
AUD-08653,SITE-006,2025-06-24,,46.8,Emergency Response,Itself school bit pull or thought two land not enter cover economic.,Attention team every can billion suffer purpose rule hit wonder material must degree.,Chad Gross,In Progress
AUD-05882,SITE-003,2024-10-12,,56.0,Documentation,Case floor for reveal sea newspaper yeah scene hair activity drug.,Main send either rule security.,Monica Walter,In Progress
AUD-01854,SITE-002,2025-06-20,2025-07-09,85.7,Maintenance Backlog,Effort deal next center brother positive decide store behind miss prove expert force.,Production term meet none goal small.,Mark Young,Closed
AUD-05654,SITE-006,2025-03-27,2025-05-21,56.5,Emergency Response,Contain morning within herself couple shake human require career money response many cultural hope.,Star start back again law long conference.,Troy Ellison,Closed
AUD-01871,SITE-003,2024-07-20,2024-09-13,48.6,Safety Equipment,Night government go himself the leg call first ask across agreement send maybe Mrs movement beyond medical down evening huge it.,,Darlene Garcia,Closed
AUD-09259,SITE-001,2025-03-02,,85.7,Safety Equipment,Develop age exist animal never long believe section himself from leave particular assume sell become office although politics interest no attack.,Accept job later red play wide material season consumer measure difficult.,Cory Moore,In Progress
AUD-01171,SITE-003,20-Feb-2025,11-Apr-2025,76.6,Emergency Response,Modern experience special family send cut.,Structure blood involve expert black whom.,Joshua Yoder,Closed
AUD-04306,SITE-002,2026-03-05,2026-04-02,81.4,Personnel Training,By clearly arrive west woman performance general difference interview success me argue between near age item.,Include direction from fall response pressure four partner.,Deanna Bautista,Closed
