record_id,dataset,issue_type,detail
INC-00002,incidents,dirty_label:incident_type,Leak -> leak 
INC-00002,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 23/12/2025
INC-00004,incidents,dirty_label:severity,Medium -> medium
INC-00004,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2025-10-17T00:00:00Z
INC-00005,incidents,dirty_label:incident_type,Fire -> Fire 
INC-00007,incidents,missing_required_field:severity,
INC-00009,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2025-05-13T00:00:00Z
INC-00011,incidents,out_of_range:compliance_score,-5.0
INC-00016,incidents,dirty_label:incident_type,Equipment Failure -> EQUIPMENT FAILURE
INC-00020,incidents,dirty_label:incident_type,Spill -> SPILL
INC-00023,incidents,dirty_label:incident_type,Fire -> fire
INC-00023,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 14/02/2026
INC-00024,incidents,dirty_label:incident_type,Near Miss -> Near  Miss
INC-00024,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2026-03-22T00:00:00Z
INC-00029,incidents,dirty_label:severity,High -> HIGH
INC-00029,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 09/10/2024
INC-00031,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 07/09/2025
INC-00039,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2025-07-26T00:00:00Z
INC-00040,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 07/17/2026
INC-00044,incidents,dirty_label:incident_type,Near Miss -> Near  Miss
INC-00044,incidents,out_of_range:compliance_score,150.0
INC-00045,incidents,dirty_label:incident_type,Near Miss -> Near  Miss
INC-00045,incidents,missing_required_field:severity,
INC-00046,incidents,dirty_label:severity,Medium -> Medium 
INC-00048,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 03-Feb-2025
INC-00049,incidents,dirty_label:incident_type,Fire ->  fire
INC-00050,incidents,dirty_label:incident_type,Fire -> fire
INC-00050,incidents,missing_required_field:incident_type,
INC-00051,incidents,dirty_label:severity,Medium ->  medium
INC-00055,incidents,future_date:incident_date,2026-08-14
INC-00058,incidents,dirty_label:incident_type,Near Miss -> near miss
INC-00061,incidents,future_date:incident_date,2026-09-18
INC-00062,incidents,dirty_label:incident_type,Equipment Failure -> Equip. Failure
INC-00064,incidents,missing_required_field:severity,
INC-00067,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 09/08/2023
INC-00068,incidents,dirty_label:severity,Medium -> medium
INC-00070,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 05-May-2026
INC-00072,incidents,dirty_label:severity,Low -> LOW
INC-00072,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 12/21/2025
INC-00075,incidents,dirty_label:incident_type,Near Miss -> Near  Miss
INC-00075,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 28-Sep-2023
INC-00077,incidents,missing_required_field:incident_type,
INC-00080,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 12/28/2025
INC-00081,incidents,dirty_label:severity,Low -> low
INC-00081,incidents,dirty_label:incident_type,Near Miss -> near miss
INC-00083,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 27/11/2024
INC-00087,incidents,future_date:incident_date,2026-09-27
INC-00090,incidents,dirty_label:incident_type,Leak -> leak 
INC-00090,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 17/11/2024
INC-00091,incidents,dirty_label:incident_type,Leak -> leak
INC-00093,incidents,dirty_label:severity,Medium -> medium
INC-00095,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 08/03/2025
INC-00101,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 05-Oct-2024
INC-00102,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 05/01/2026
INC-00103,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 03/06/2025
