incident_id,site,incident_date,incident_type,severity,compliance_score,description,root_cause,response_time_hours,status
INC-04830,SITE-003,2025-08-03,Leak,,64.0,Full agree tree claim street reason.,Corrosion,15.7,Closed
INC-03773,SITE-005,2026-07-20,Near Miss,,55.6,Building husband election reveal yes fine.,Corrosion,4.9,Closed
INC-02973,SITE-001,2023-09-21,Spill,Medium,65.1,Short knowledge pull mission notice smile news work important.,Operator Error,2.1,Closed
INC-05389,SITE-006,2025-04-04,Leak,High,61.7,Data lawyer surface law hair possible glass series degree.,,0.7,Open
INC-01578,SITE-006,2025-07-29,Near Miss,crit,30.2,Site seven off feeling wear receive suddenly song answer strong new best group.,,6.1,Closed
INC-05473,SITE-003,01/30/2024,NEAR MISS,Critical,52.0,Stage key management discussion minute my cover.,,16.1,Closed
INC-02510,SITE-001,2024-10-06,Fire,High,55.9,School daughter phone nation story attorney fight other significant.,,10.8,Closed
INC-05518,SITE-003,2024-10-19,equipment failure,High,70.7,Race chair inside direction upon.,Sensor Malfunction,2.5,Under Investigation
INC-02819,SITE-002,2026-03-27,Leak,Low,82.6,Training question soldier others sister.,Valve Failure,11.5,Under Investigation
INC-00075,SITE-002,28-Sep-2023,Near  Miss,Critical,58.2,Environment explain majority contain author per.,Valve Failure,12.6,Closed
INC-03311,SITE-004,07/07/2025,Fire,Medium,81.2,They main seat fine leg development year behavior.,Sensor Malfunction,12.3,Open
INC-03834,SITE-006,30/01/2024,Leak,Critical,22.9,Degree one network training participant natural chair billion campaign easy.,Valve Failure,5.0,Closed
INC-02357,SITE-001,2025-10-18,Leak,High,45.3,Effect run own area stand race audience blood including.,,5.3,Open
INC-00743,SITE-003,2025-05-27,Near Miss,Medium,85.7,Receive project service have former five.,Corrosion,6.9,Open
INC-02120,SITE-003,2025-05-12,Near Miss,High,70.5,Your recently value vote drive.,Corrosion,4.2,Open
INC-03229,SITE-006,2024-05-15,Spill,Critical,50.5,Network listen trouble see training adult decide product spend or wind nearly none man direction high.,Valve Failure,3.7,Under Investigation
INC-02780,SITE-003,2026-06-15T00:00:00Z,leak, medium,66.2,True result such market.,Material Fatigue,10.0,Open
INC-00470,SITE-006,2026-06-04,Minor Spill,Medium,69.0,Go build ahead leg happen hundred home present leave write cover learn stock have.,Operator Error,5.9,Under Investigation
INC-01955,SITE-001,2024-07-05,Leak,High,57.3,Sister themselves store store magazine feeling upon its mind.,Valve Failure,8.1,Closed
INC-04018,SITE-002,01/27/2026,Leak,High,61.9,And wrong begin understand better against bag officer local more teacher.,Sensor Malfunction,16.7,Closed
INC-05570,SITE-005,2024-10-14,Leak,,60.4,Wonder administration including space become government generation almost camera guy many fact fine.,Sensor Malfunction,10.0,Open
INC-00125,SITE-001,2024-05-15,Equipment Failure,Low,87.7,Back either mother explain trade necessary dream hundred white skill Republican gun company bad whatever physical they his.,Material Fatigue,6.5,Open
INC-00505,SITE-006,2024-12-17,Leak,High,55.2,Drop including seem bad as here three end five statement share detail boy fact than glass.,,9.8,Under Investigation
INC-04122,SITE-005,2023-09-17,Fire,Low,84.0,Property also tough thank side.,,1.8,Under Investigation
INC-03145,SITE-003,2025-07-13,Leak,Low,100.0,Natural friend scientist parent that finally young.,Corrosion,16.9,Closed
INC-03612,SITE-001,2025-02-16,Near Miss,Low,88.1,Energy stay price particularly technology probably raise certainly model light move may hour goal pass cover final.,Corrosion,10.9,Open
INC-00246,SITE-006,2026-01-02,Leak,Critical,51.6,Treatment page various tonight tonight risk audience.,Operator Error,11.3,Closed
INC-00662,SITE-005,2024-07-14,Near Miss,Critical,36.5,Break energy check issue court attack stay population prevent form.,Material Fatigue,15.3,Open
INC-02128,SITE-001,23/01/2026,Fire,Medium,71.5,Push development mission recognize them piece share.,Operator Error,3.4,Closed
INC-05430,SITE-006,23-Mar-2025,NEAR MISS,Critical,47.0,Full probably fall population step girl Mrs.,Valve Failure,3.0,Under Investigation
INC-04013,SITE-005,2024-01-14,Fire,High,38.9,Better difficult guy pattern form important happen.,Valve Failure,5.0,Under Investigation
INC-04784,SITE-006,09/19/2024,Leak,Low,85.8,Unit learn chance help really fast somebody cost everybody.,,12.1,Open
INC-03262,SITE-003,2025-09-08,Leak,High,58.6,Fill little series south figure cell drug policy rock bed build win shoulder.,Sensor Malfunction,5.3,Open
INC-00264,SITE-002,2025-12-04,Leak,low,92.8,Low of serve drug administration amount give may make full sometimes political.,Corrosion,4.6,Closed
INC-02110,SITE-001,2025-05-05,Equipment Failure,,43.8,Happy young blue remain which.,Sensor Malfunction,14.5,Open
INC-04519,SITE-002,19/09/2023,Near Miss,Critical,48.9,Democrat shoulder easy whose difficult six mission better.,Third-party Damage,8.0,Closed
INC-03045,SITE-001,09-Aug-2025,Leak,Critical,34.6,Face movie go free factor amount financial sort think company.,Sensor Malfunction,5.1,Under Investigation
INC-05291,SITE-003,2025-05-28,Spill,High,74.0,Able art key paper cut return expect.,Sensor Malfunction,3.7,Under Investigation
INC-03097,SITE-002,2023-07-28,Near Miss,Medium,90.4,Decide best mother either east white something produce.,Third-party Damage,17.3,Under Investigation
