id,donor_id,program_id,amount_kes,currency,fiscal_year,disbursed_to_date,funding_status
FUND-0dd85ae2,DONOR-dcf1ff15,PROG-a502bbfb,3469186,KES,2024,3273139,completed
FUND-5ba71d24,DONOR-dcf1ff15,PROG-a502bbfb,4225612,KES,2025,4132020,completed
FUND-ccf85f49,DONOR-dcf1ff15,PROG-a502bbfb,3093874,KES,2026,1928792,active
FUND-b71a7ef8,DONOR-dcf1ff15,PROG-7470f836,7938791,KES,2025,7499571,completed
FUND-a81cff8d,DONOR-dcf1ff15,PROG-7470f836,11280833,KES,2026,8350659,active
FUND-2e49d7d8,DONOR-dcf1ff15,PROG-da199d8b,7904664,KES,2025,7541841,completed
FUND-e2e43e1f,DONOR-dcf1ff15,PROG-da199d8b,2242827,KES,2026,968936,active
FUND-f2b70122,DONOR-dcf1ff15,PROG-d34f4cec,13494697,KES,2026,8188719,active
FUND-92d0d60a,DONOR-dcf1ff15,PROG-055f2cd4,14397014,KES,2025,13712727,completed
FUND-788ddd1b,DONOR-dcf1ff15,PROG-a0e0d78d,2100279,KES,2026,1232984,active
FUND-404a1d3b,DONOR-dcf1ff15,PROG-0c3fbd28,10805654,KES,2026,6536609,active
FUND-1a89542a,DONOR-dcf1ff15,PROG-dc32c3e9,14719612,KES,2025,14635774,completed
FUND-96b16a3f,DONOR-dcf1ff15,PROG-ae147777,2767190,KES,2024,2706313,completed
FUND-8ea25ed4,DONOR-dcf1ff15,PROG-ae147777,2494912,KES,2025,2255011,completed
FUND-7be650c9,DONOR-dcf1ff15,PROG-ae109715,7865978,KES,2026,3331369,suspended
FUND-b17a0d8b,DONOR-dcf1ff15,PROG-0a0324fa,11333700,KES,2025,10952447,completed
FUND-64705498,DONOR-dcf1ff15,PROG-0a0324fa,8910964,KES,2026,5226085,active
FUND-c8718fc4,DONOR-dcf1ff15,PROG-e80397c9,7685500,KES,2024,6644688,completed
FUND-5109b286,DONOR-dcf1ff15,PROG-e80397c9,7263500,KES,2025,7033186,completed
FUND-1723e1de,DONOR-dcf1ff15,PROG-de40b141,4571739,KES,2024,4509765,completed
FUND-3ccd81df,DONOR-dcf1ff15,PROG-ace82afc,6368777,KES,2026,4164739,active
FUND-c68ea25f,DONOR-56477b32,PROG-fc7b354b,8682698,KES,2024,7990250,completed
FUND-79310800,DONOR-56477b32,PROG-fc7b354b,6785186,KES,2025,6751874,completed
FUND-6abab01e,DONOR-56477b32,PROG-fc7b354b,4515030,KES,2026,1382788,suspended
FUND-5f336e10,DONOR-56477b32,PROG-8cf15bc4,7398338,KES,2025,6711431,completed
FUND-e2c88abd,DONOR-56477b32,PROG-dc32c3e9,11910069,KES,2024,10168265,completed
FUND-d2eaa1b4,DONOR-56477b32,PROG-dc32c3e9,14865803,KES,2025,12776898,completed
FUND-4955d172,DONOR-56477b32,PROG-bd4698ac,2767477,KES,2025,2410380,completed
FUND-81841a0b,DONOR-56477b32,PROG-bd4698ac,2776597,KES,2026,954417,suspended
FUND-06dc7bf5,DONOR-56477b32,PROG-0e8639f5,13853935,KES,2025,13318347,completed
FUND-986192f0,DONOR-56477b32,PROG-6a19579e,5480303,KES,2025,5164352,completed
FUND-e2620fb0,DONOR-56477b32,PROG-860280ab,4346630,KES,2025,3983719,completed
FUND-11ca6c04,DONOR-56477b32,PROG-860280ab,3980656,KES,2026,2169496,active
FUND-2ac06695,DONOR-56477b32,PROG-3efe6266,8628522,KES,2024,7579909,completed
FUND-9a27d2e3,DONOR-56477b32,PROG-3efe6266,5538024,KES,2025,5257885,completed
FUND-4c7a3f1c,DONOR-56477b32,PROG-3efe6266,4848566,KES,2026,3171241,active
FUND-082e4b0a,DONOR-56477b32,PROG-21c51332,5151087,KES,2025,5019594,completed
FUND-d264b167,DONOR-56477b32,PROG-5ffcdf85,2405765,KES,2026,1560056,active
FUND-f8f384e3,DONOR-206d1532,PROG-0c478853,3995914,KES,2026,1512097,active
FUND-1c033f11,DONOR-206d1532,PROG-ff57bf40,3706562,KES,2025,3415363,completed
FUND-bfd4a896,DONOR-206d1532,PROG-5b244900,11583392,KES,2025,10721307,completed
FUND-a8fd34b0,DONOR-206d1532,PROG-5b244900,9060517,KES,2026,4585701,active
FUND-1af24ceb,DONOR-206d1532,PROG-7610ad3c,2510240,KES,2024,2392044,completed
FUND-e33cd753,DONOR-206d1532,PROG-7610ad3c,6112673,KES,2025,6020311,completed
FUND-a73ad24b,DONOR-206d1532,PROG-7610ad3c,4702069,KES,2026,1677633,suspended
FUND-21c2d9cb,DONOR-206d1532,PROG-6ac30dd4,6599947,KES,2024,6594629,completed
FUND-0e7649b5,DONOR-206d1532,PROG-6ac30dd4,6450633,KES,2025,6068846,completed
FUND-d5745767,DONOR-206d1532,PROG-f5f07ba4,6607488,KES,2024,6063911,completed
FUND-891209c4,DONOR-206d1532,PROG-77574714,4843164,KES,2025,4418895,completed
FUND-b8d360e4,DONOR-206d1532,PROG-4432776f,10279729,KES,2024,10208171,completed
FUND-165ecc02,DONOR-206d1532,PROG-af20e065,5978447,KES,2024,5165286,completed
FUND-b32183b2,DONOR-206d1532,PROG-af20e065,2810041,KES,2025,2623049,completed
FUND-7d0f1a85,DONOR-206d1532,PROG-5c00be57,6710928,KES,2026,3253887,suspended
FUND-e7490598,DONOR-206d1532,PROG-8b381880,3863121,KES,2025,3631571,completed
FUND-cf28af11,DONOR-206d1532,PROG-8b381880,11512969,KES,2026,4255522,active
FUND-98f86385,DONOR-206d1532,PROG-8c0627d6,5927455,KES,2025,5716383,completed
FUND-ab8e1425,DONOR-206d1532,PROG-1619daa0,5599655,KES,2026,4021045,active
FUND-07f19b23,DONOR-206d1532,PROG-ae109715,4243514,KES,2025,4054274,completed
FUND-cd122719,DONOR-206d1532,PROG-ae109715,4591951,KES,2026,1752438,active
FUND-1e343890,DONOR-25e63543,PROG-85629e1e,8442241,KES,2026,4797731,active
FUND-4bf7969e,DONOR-25e63543,PROG-ddf8fbd0,2160224,KES,2025,1924361,completed
FUND-49c0113d,DONOR-25e63543,PROG-ddf8fbd0,3278446,KES,2026,1635682,active
FUND-d80e7991,DONOR-25e63543,PROG-c34cc69a,6297872,KES,2025,5457947,completed
FUND-90b360ec,DONOR-25e63543,PROG-e80397c9,6975570,KES,2024,5976756,completed
FUND-04f22928,DONOR-25e63543,PROG-e80397c9,5315709,KES,2025,4681351,completed
FUND-4d566e1b,DONOR-25e63543,PROG-10beab49,8856117,KES,2025,7963583,completed
FUND-9567d881,DONOR-25e63543,PROG-10beab49,6947669,KES,2026,2488193,suspended
FUND-b8b2df02,DONOR-25e63543,PROG-89d68327,8941939,KES,2024,8133236,completed
FUND-ab155348,DONOR-25e63543,PROG-89d68327,3314430,KES,2025,3275235,completed
FUND-30f56835,DONOR-25e63543,PROG-aaa510cb,6829817,KES,2025,6233260,completed
FUND-8f39ac2d,DONOR-25e63543,PROG-aaa510cb,2966144,KES,2026,1119253,suspended
FUND-ba091fed,DONOR-25e63543,PROG-c63f7e98,7784868,KES,2026,5293850,active
FUND-af61fa89,DONOR-25e63543,PROG-4013e47a,5319479,KES,2025,4837348,completed
FUND-ab97c56f,DONOR-25e63543,PROG-fc7b354b,8587964,KES,2026,2871564,suspended
FUND-7981fb60,DONOR-25e63543,PROG-4569954c,6277787,KES,2025,6021069,completed
FUND-41a94bd2,DONOR-25e63543,PROG-ff2c588f,2490983,KES,2025,2212977,completed
FUND-c32c2320,DONOR-25e63543,PROG-ff2c588f,4026644,KES,2026,1344533,suspended
FUND-12b7a2a3,DONOR-25e63543,PROG-4cb533cf,4687155,KES,2026,2762358,active
