disbursement_id,beneficiary_id,cohort_id,expected_date,actual_date,amount_kes,status,delay_days,payment_method
DISB-0000001,BEN-00001,COHORT-SC-001,2025-09-06,2025-09-06,5500,paid,0,M-Pesa
DISB-0000002,BEN-00001,COHORT-SC-001,2025-10-06,2025-10-06,4145,Paid,0,Bank Transfer
DISB-0000003,BEN-00001,COHORT-SC-001,2025-11-06,2025-11-06,4764,Paid,0,Cash
DISB-0000004,BEN-00001,COHORT-SC-001,2025-12-06,2025-12-06,3501,Paid,0,Bank Transfer
DISB-0000005,BEN-00001,COHORT-SC-001,2026-01-06,2026-01-06,3192,Pending,0,Cash
DISB-0000006,BEN-00001,COHORT-SC-001,2026-02-06,2026-02-06,4815,withheld,0,M-Pesa
DISB-0000007,BEN-00001,COHORT-SC-001,2026-03-06,2026-03-17,3406,Delayed,11,M-Pesa
DISB-0000008,BEN-00001,COHORT-SC-001,2026-04-06,2026-04-06,3376,Paid,0,Cash
DISB-0000009,BEN-00001,COHORT-SC-001,2026-05-06,2026-05-06,6253,Paid,0,M-Pesa
DISB-0000010,BEN-00001,COHORT-SC-001,2026-06-06,2026-06-06,4164,Paid,0,Bank Transfer
DISB-0000011,BEN-00001,COHORT-SC-001,2026-07-06,2026-07-22,5194,withheld,16,M-Pesa
DISB-0000012,BEN-00001,COHORT-SC-001,2026-08-06,2026-08-06,7805,Paid,0,Bank Transfer
DISB-0000013,BEN-00002,COHORT-SC-001,2025-09-06,2025-09-06,6544,Paid,0,Bank Transfer
DISB-0000014,BEN-00002,COHORT-SC-001,2025-10-06,2025-10-06,6883,delayed,0,M-Pesa
DISB-0000015,BEN-00002,COHORT-SC-001,2025-11-06,2025-11-06,7193,Paid,0,Bank Transfer
DISB-0000016,BEN-00002,COHORT-SC-001,2025-12-06,2025-12-06,5769,Paid,0,Cash
DISB-0000017,BEN-00002,COHORT-SC-001,2026-01-06,2026-02-02,3377,Delayed,27,M-Pesa
DISB-0000018,BEN-00002,COHORT-SC-001,2026-02-06,2026-02-06,5806,withheld,0,M-Pesa
DISB-0000019,BEN-00002,COHORT-SC-001,2026-03-06,2026-03-06,4111,Paid,0,Cash
DISB-0000020,BEN-00002,COHORT-SC-001,2026-04-06,2026-04-06,3989,Paid,0,Cash
DISB-0000021,BEN-00002,COHORT-SC-001,2026-05-06,2026-05-06,4991,Paid,0,Cash
DISB-0000022,BEN-00002,COHORT-SC-001,2026-06-06,2026-06-06,7044,Pending,0,Bank Transfer
DISB-0000023,BEN-00002,COHORT-SC-001,2026-07-06,2026-07-06,4078,delayed,0,M-Pesa
DISB-0000024,BEN-00002,COHORT-SC-001,2026-08-06,2026-08-06,4225,Paid,0,Bank Transfer
DISB-0000025,BEN-00003,COHORT-SC-001,2025-10-06,2025-10-06,5853,Pending,0,M-Pesa
DISB-0000026,BEN-00003,COHORT-SC-001,2025-11-06,2025-11-06,5536,Pending,0,Cash
DISB-0000027,BEN-00003,COHORT-SC-001,2025-12-06,2025-12-06,7321,withheld,0,Bank Transfer
DISB-0000028,BEN-00003,COHORT-SC-001,2026-01-06,2026-01-28,4695,paid,22,M-Pesa
DISB-0000029,BEN-00003,COHORT-SC-001,2026-02-06,2026-02-06,6579,Paid,0,Cash
DISB-0000030,BEN-00003,COHORT-SC-001,2026-03-06,2026-03-06,6037,Pending,0,Cash
DISB-0000031,BEN-00003,COHORT-SC-001,2026-04-06,2026-04-06,4760,Pending,0,Cash
DISB-0000032,BEN-00003,COHORT-SC-001,2026-05-06,2026-05-06,3291,Paid,0,Cash
DISB-0000033,BEN-00003,COHORT-SC-001,2026-06-06,2026-06-06,3046,Paid,0,M-Pesa
DISB-0000034,BEN-00003,COHORT-SC-001,2026-07-06,2026-07-06,4510,Paid,0,M-Pesa
DISB-0000035,BEN-00003,COHORT-SC-001,2026-08-06,2026-08-06,3722,Paid,0,M-Pesa
DISB-0000036,BEN-00004,COHORT-SC-001,2025-09-06,2025-09-06,7747,Pending,0,Cash
