beneficiary_id,week_start,band
BEN-00001,2025-08-24,Active
BEN-00001,2025-08-31,Active
BEN-00001,2025-09-07,Active
BEN-00001,2025-09-14,Active
BEN-00001,2025-09-21,Active
BEN-00001,2025-09-28,Active
BEN-00001,2025-10-05,Active
BEN-00001,2025-10-12,Active
BEN-00001,2025-10-19,Active
BEN-00001,2025-10-26,Active
BEN-00001,2025-11-02,Active
BEN-00001,2025-11-09,Active
BEN-00001,2025-11-16,Active
BEN-00001,2025-11-23,Active
BEN-00001,2025-11-30,Active
BEN-00001,2025-12-07,Active
BEN-00001,2025-12-14,Active
BEN-00001,2025-12-21,Active
BEN-00001,2025-12-28,Active
BEN-00001,2026-01-04,Active
BEN-00001,2026-01-11,Active
BEN-00001,2026-01-18,Active
BEN-00001,2026-01-25,Active
BEN-00001,2026-02-01,Active
BEN-00001,2026-02-08,Active
BEN-00001,2026-02-15,Active
BEN-00001,2026-02-22,Active
BEN-00001,2026-03-01,Active
BEN-00001,2026-03-08,Active
BEN-00001,2026-03-15,Active
BEN-00001,2026-03-22,Active
BEN-00001,2026-03-29,Active
BEN-00001,2026-04-05,Active
BEN-00001,2026-04-12,Active
BEN-00001,2026-04-19,Active
BEN-00001,2026-04-26,Active
BEN-00001,2026-05-03,Active
BEN-00001,2026-05-10,Active
BEN-00001,2026-05-17,Active
BEN-00001,2026-05-24,Active
BEN-00001,2026-05-31,Active
BEN-00001,2026-06-07,Active
BEN-00001,2026-06-14,Active
BEN-00001,2026-06-21,Active
BEN-00001,2026-06-28,Active
BEN-00001,2026-07-05,Active
BEN-00001,2026-07-12,Active
BEN-00001,2026-07-19,Active
BEN-00001,2026-07-26,Active
BEN-00001,2026-08-02,Active
BEN-00001,2026-08-09,At-Risk
BEN-00001,2026-08-16,Dropout
BEN-00002,2025-08-24,Active
BEN-00002,2025-08-31,Active
BEN-00002,2025-09-07,Active
BEN-00002,2025-09-14,Active
BEN-00002,2025-09-21,Active
BEN-00002,2025-09-28,Active
BEN-00002,2025-10-05,Active
BEN-00002,2025-10-12,Active
BEN-00002,2025-10-19,Active
BEN-00002,2025-10-26,Active
BEN-00002,2025-11-02,Active
BEN-00002,2025-11-09,Active
BEN-00002,2025-11-16,Active
BEN-00002,2025-11-23,Active
BEN-00002,2025-11-30,Active
BEN-00002,2025-12-07,Active
BEN-00002,2025-12-14,Active
BEN-00002,2025-12-21,Active
BEN-00002,2025-12-28,Active
BEN-00002,2026-01-04,Active
BEN-00002,2026-01-11,Active
BEN-00002,2026-01-18,Active
BEN-00002,2026-01-25,Active
BEN-00002,2026-02-01,Active
BEN-00002,2026-02-08,Active
BEN-00002,2026-02-15,Active
BEN-00002,2026-02-22,Active
BEN-00002,2026-03-01,Active
BEN-00002,2026-03-08,Active
BEN-00002,2026-03-15,Active
BEN-00002,2026-03-22,Active
BEN-00002,2026-03-29,Active
BEN-00002,2026-04-05,Active
BEN-00002,2026-04-12,Active
BEN-00002,2026-04-19,Active
BEN-00002,2026-04-26,Active
BEN-00002,2026-05-03,Active
BEN-00002,2026-05-10,Active
BEN-00002,2026-05-17,Active
BEN-00002,2026-05-24,Active
BEN-00002,2026-05-31,Active
BEN-00002,2026-06-07,Active
BEN-00002,2026-06-14,Active
BEN-00002,2026-06-21,Active
BEN-00002,2026-06-28,Active
BEN-00002,2026-07-05,Active
BEN-00002,2026-07-12,Active
BEN-00002,2026-07-19,Active
BEN-00002,2026-07-26,Active
BEN-00002,2026-08-02,Active
BEN-00002,2026-08-09,Active
BEN-00002,2026-08-16,Active
BEN-00003,2025-09-18,Active
BEN-00003,2025-09-25,Active
BEN-00003,2025-10-02,Active
BEN-00003,2025-10-09,At-Risk
BEN-00003,2025-10-16,At-Risk
BEN-00003,2025-10-23,At-Risk
BEN-00003,2025-10-30,At-Risk
BEN-00003,2025-11-06,At-Risk
BEN-00003,2025-11-13,At-Risk
BEN-00003,2025-11-20,At-Risk
BEN-00003,2025-11-27,At-Risk
BEN-00003,2025-12-04,At-Risk
BEN-00003,2025-12-11,At-Risk
BEN-00003,2025-12-18,At-Risk
BEN-00003,2025-12-25,At-Risk
BEN-00003,2026-01-01,At-Risk
BEN-00003,2026-01-08,At-Risk
BEN-00003,2026-01-15,At-Risk
BEN-00003,2026-01-22,At-Risk
BEN-00003,2026-01-29,At-Risk
BEN-00003,2026-02-05,At-Risk
BEN-00003,2026-02-12,At-Risk
BEN-00003,2026-02-19,At-Risk
BEN-00003,2026-02-26,At-Risk
BEN-00003,2026-03-05,At-Risk
BEN-00003,2026-03-12,At-Risk
BEN-00003,2026-03-19,At-Risk
BEN-00003,2026-03-26,At-Risk
BEN-00003,2026-04-02,At-Risk
BEN-00003,2026-04-09,At-Risk
BEN-00003,2026-04-16,At-Risk
