session_id,beneficiary_id,cohort_id,session_date,attendance_status,session_type,facilitator
SES-0000001,BEN-00001,COHORT-SC-001,2026-02-24,Present,Skills Lab,Irene Kiprotich
SES-0000002,BEN-00001,COHORT-SC-001,2026-03-03,Present,Mentorship,Mary Ndung'u
SES-0000003,BEN-00001,COHORT-SC-001,2026-03-10,1,Workshop,Irene Wangari
SES-0000004,BEN-00001,COHORT-SC-001,2026-03-17,Present,Mentorship,Mary Were
SES-0000005,BEN-00001,COHORT-SC-001,2026-03-24,Absent,Skills Lab,Brian Ochieng
SES-0000006,BEN-00001,COHORT-SC-001,2026-03-31,Absent,Workshop,Caroline Githinji
SES-0000007,BEN-00001,COHORT-SC-001,2026-04-07,Present,Group Discussion,Lilian Kimani
SES-0000008,BEN-00001,COHORT-SC-001,2026-04-14,Present,Workshop,Kezia Githinji
SES-0000009,BEN-00001,COHORT-SC-001,2026-04-21,Present,Skills Lab,Aisha Adhiambo
SES-0000010,BEN-00001,COHORT-SC-001,2026-04-28,Present,Workshop,
SES-0000011,BEN-00001,COHORT-SC-001,2026-05-05,Absent,Skills Lab,Xavier Were
SES-0000012,BEN-00001,COHORT-SC-001,2026-05-12,Present,Workshop,Priscilla Musyoka
SES-0000013,BEN-00001,COHORT-SC-001,2026-05-19,Present,Skills Lab,Cynthia Ndung'u
SES-0000014,BEN-00001,COHORT-SC-001,2026-05-26,1,Group Discussion,Cynthia Kamau
SES-0000015,BEN-00001,COHORT-SC-001,2026-06-02,Present,Group Discussion,Kezia Mugo
SES-0000016,BEN-00001,COHORT-SC-001,2026-06-09,Absent,Mentorship,Xavier Kimani
SES-0000017,BEN-00001,COHORT-SC-001,2026-06-16,Present,Skills Lab,
SES-0000018,BEN-00001,COHORT-SC-001,2026-07-21,NO,Mentorship,Aisha Mwangi
SES-0000019,BEN-00001,COHORT-SC-001,2026-06-30,Absent,Workshop,Amina Wangari
SES-0000020,BEN-00001,COHORT-SC-001,07-Jul-2026,Present,Group Discussion,Dennis Mugo
SES-0000021,BEN-00001,COHORT-SC-001,2026-07-14,Present,Workshop,Tabitha Chebet
SES-0000022,BEN-00001,COHORT-SC-001,2026-07-21,Absent,Skills Lab,Nancy Achieng
SES-0000023,BEN-00001,COHORT-SC-001,2026-07-28,Absent,Mentorship,Gladys Ochieng
SES-0000024,BEN-00001,COHORT-SC-001,2026-08-04,Present,Group Discussion,Seun Achieng
SES-0000025,BEN-00001,COHORT-SC-001,2026-08-11,Present,Group Discussion,Quinton Rotich
SES-0000026,BEN-00001,COHORT-SC-001,2026-08-18,Absent,Skills Lab,Boniface Simiyu
SES-0000027,BEN-00002,COHORT-SC-001,2026-04-11,Present,Group Discussion,Owen Kamau
SES-0000028,BEN-00002,COHORT-SC-001,2026-04-15,0,Mentorship,Kezia Auma
SES-0000029,BEN-00002,COHORT-SC-001,2026-03-27,Present,Group Discussion,Caroline Githinji
