program_id,pillar,name,county,start_date,end_date,target_capacity,status,description
PROG-0c478853,Scholarship,Nairobi Academic Excellence Scholarship,Nairobi,2023-12-16,,112,active,Ad eius dolore qui perspiciatis tempora assumenda in.
PROG-325861d4,Scholarship,Nairobi Secondary School Scholarship Program,Nairobi,2024-04-08,,223,active,Atque doloremque nobis natus quaerat praesentium in.
PROG-3f035d32,Scholarship,Nairobi University Preparatory Program,Nairobi,2025-09-20,2026-04-10,158,completed,Nihil repellat ab rem praesentium excepturi culpa vero excepturi at atque sed nobis rem.
PROG-ae109715,Scholarship,Nairobi Girls Education Initiative,Nairobi,2023-09-25,,109,active,Modi voluptate fugiat mollitia repudiandae nulla similique neque provident aliquid dolorem enim aspernatur doloremque.
PROG-e109788d,Scholarship,Nairobi University Preparatory Program,Nairobi,2025-01-22,,100,active,Fugit iste rerum cum explicabo pariatur praesentium placeat.
PROG-7bc39a8c,Scholarship,Nairobi University Preparatory Program,Nairobi,2025-08-26,,157,active,Non cupiditate quas cum fugit voluptatibus odit nam.
PROG-1619daa0,Scholarship,Mombasa Secondary School Scholarship Program,Mombasa,2024-11-25,,244,active,Sapiente quod dolorem adipisci et eaque distinctio velit soluta et omnis id.
PROG-aaa510cb,Scholarship,STEM Scholarship Mombasa,Mombasa,2025-11-26,,137,active,Corporis consequuntur quia molestiae quia incidunt nesciunt facere voluptatum consequuntur laudantium quidem similique corrupti.
PROG-54f8ce8a,Scholarship,Mombasa Academic Excellence Scholarship,Mombasa,2024-06-03,,76,active,Recusandae in aperiam fugit voluptatum minus voluptas similique accusamus.
PROG-324887b3,Scholarship,Mombasa Academic Excellence Scholarship,Mombasa,2023-11-26,,266,active,Placeat modi eaque odit beatae ipsa iste veritatis.
PROG-05bef3b8,Scholarship,Nakuru Secondary School Scholarship Program,Nakuru,2025-05-03,,236,active,Voluptas quis magni autem numquam sapiente magni dicta fugiat cum veritatis.
PROG-a17817bc,Scholarship,STEM Scholarship Nakuru,Nakuru,2024-12-06,,70,active,Ullam nobis laborum beatae facilis voluptates rem dolores dolores necessitatibus aspernatur quasi repellendus voluptate minus.
PROG-bf6f2447,Scholarship,Nakuru University Preparatory Program,Nakuru,2025-03-11,,276,active,Consectetur labore mollitia eaque sit incidunt distinctio molestiae quas.
PROG-a46ac700,Scholarship,Nakuru Girls Education Initiative,Nakuru,2026-01-22,,230,active,Quae id perferendis fuga tempore iste dolorum aperiam accusantium mollitia.
PROG-2f07ec2b,Scholarship,Nakuru Girls Education Initiative,Nakuru,2023-11-03,,247,active,Dolore architecto occaecati dolorem temporibus similique architecto dolores pariatur distinctio consequatur vel necessitatibus labore quos rem.
PROG-cd46d603,Scholarship,STEM Scholarship Kisumu,Kisumu,2023-11-13,2024-08-22,121,completed,Atque omnis explicabo illum sint amet officiis officia aperiam quas.
PROG-3cc79871,Scholarship,Kisumu Academic Excellence Scholarship,Kisumu,2024-11-30,,91,active,Dolorum deleniti ipsum in eius dolorum unde ipsam.
PROG-c34cc69a,Scholarship,Kisumu Academic Excellence Scholarship,Kisumu,2024-09-06,,229,active,Atque officiis molestiae accusamus at quidem dolores illo laboriosam sint temporibus cum a hic unde.
PROG-1f06b575,Scholarship,Kisumu University Preparatory Program,Kisumu,2026-04-09,2026-10-06,212,completed,Eligendi possimus quas quos optio laborum deleniti dolor animi quasi aperiam et amet labore.
PROG-c254e45c,Scholarship,Kisumu Girls Education Initiative,Kisumu,2024-02-15,,91,active,Culpa vero aspernatur delectus nisi perferendis doloremque blanditiis tempora doloribus nisi nulla in nesciunt minima.
PROG-34646677,Scholarship,Eldoret University Preparatory Program,Eldoret,2024-09-15,,106,active,Dignissimos quaerat dolores id perferendis error et quibusdam asperiores itaque voluptatum.
PROG-9e60e575,Scholarship,Eldoret Secondary School Scholarship Program,Eldoret,2025-07-25,,108,active,Asperiores distinctio eaque ut sunt sunt fuga culpa.
PROG-3704be03,Scholarship,Eldoret Academic Excellence Scholarship,Eldoret,2025-12-12,,152,active,Provident nostrum voluptates omnis ab repellendus error optio vel consequatur blanditiis autem mollitia earum non.
PROG-c63f7e98,Scholarship,Eldoret University Preparatory Program,Eldoret,2024-05-24,,274,active,Dignissimos odio eaque laborum temporibus sapiente at incidunt eius a quo odio.
PROG-fc8539a4,Scholarship,STEM Scholarship Eldoret,Eldoret,2025-08-28,,151,active,Cum ipsam provident natus beatae velit porro corrupti alias fuga mollitia.
PROG-da199d8b,Scholarship,Kiambu Girls Education Initiative,Kiambu,2024-12-05,,113,active,Consectetur est tempore recusandae similique tempore distinctio dolorum aut quod sunt illo nulla.
PROG-e2877dc7,Scholarship,Kiambu Academic Excellence Scholarship,Kiambu,2025-09-24,,241,active,Unde dolores cum reiciendis debitis impedit debitis unde quos.
PROG-29aab137,Scholarship,Kiambu University Preparatory Program,Kiambu,2025-04-13,,152,active,Rem sint repellat eaque ratione autem sit similique dolore repellendus itaque esse recusandae.
PROG-5c00be57,Scholarship,Kiambu Girls Education Initiative,Kiambu,2024-08-28,,180,active,Dolore optio id eius architecto quo expedita magni perspiciatis sapiente.
PROG-a24f96d3,Scholarship,Kiambu Secondary School Scholarship Program,Kiambu,2025-01-10,,270,active,Vel beatae voluptas debitis vitae eaque autem ipsa quas et non maiores.
PROG-40c80781,Scholarship,Kiambu Girls Education Initiative,Kiambu,2023-12-14,,252,active,Tempore deleniti aliquid ipsa maxime rem porro velit qui deserunt inventore veniam ullam.
PROG-c46cb3c8,Scholarship,STEM Scholarship Machakos,Machakos,2024-10-29,,147,active,Et sed quaerat error est illum illo eos consectetur in velit perspiciatis temporibus nulla error molestias.
PROG-fb737e33,Scholarship,Machakos Academic Excellence Scholarship,Machakos,2027-02-04,,298,planned,Esse distinctio ratione non eum ipsam perferendis.
PROG-6ac30dd4,Scholarship,Machakos Secondary School Scholarship Program,Machakos,2025-03-12,2025-09-13,224,completed,Labore temporibus recusandae cumque assumenda maiores odio excepturi repellendus quibusdam perferendis dolore dicta ad doloribus.
PROG-4931b340,Scholarship,Machakos Academic Excellence Scholarship,Machakos,2026-02-15,,246,active,Nostrum quisquam iste suscipit nemo quaerat fugit id corporis porro tempora similique suscipit quod.
PROG-2ffb615d,Scholarship,Machakos Academic Excellence Scholarship,Machakos,2025-06-10,,161,active,Debitis vero maxime amet dolorum sed itaque reiciendis pariatur voluptates.
PROG-e80397c9,Scholarship,Machakos Academic Excellence Scholarship,Machakos,2024-02-01,,298,active,Et quidem ipsam repellendus tempora incidunt tenetur ipsum culpa similique ipsum quibusdam saepe eius quod laborum.
PROG-7610ad3c,Scholarship,Kajiado Secondary School Scholarship Program,Kajiado,2025-10-12,,272,active,Earum aspernatur enim earum eum molestiae consequuntur doloremque possimus provident.
PROG-5fb95eae,Scholarship,Kajiado University Preparatory Program,Kajiado,2025-05-25,,205,active,Impedit ex iure aperiam rerum harum quo veniam.
PROG-988b5125,Scholarship,Kajiado Girls Education Initiative,Kajiado,2024-03-14,,188,active,Sequi quisquam fugit ab explicabo quidem sequi.
