id,program_id,region,resource_type,allocated_amount,unit,period_start,period_end,source,status,priority_score,rationale
ALLOC-44430485,PROG-0c478853,Nairobi,training_capacity,77,seats,2024-06-22,2024-09-13,manual,approved,,
ALLOC-7d979e46,PROG-0c478853,Nairobi,budget,652391,KES,2024-06-22,2024-09-13,manual,approved,,
ALLOC-2c4f728d,PROG-0c478853,Nairobi,field_officer,1,officers,2024-09-16,2024-12-21,manual,approved,,
ALLOC-ffa0f0be,PROG-0c478853,Nairobi,training_capacity,89,seats,2024-09-16,2024-12-21,manual,approved,,
ALLOC-315f2c5d,PROG-0c478853,Nairobi,field_officer,4,officers,2024-08-04,2024-11-07,ml_recommended,approved,57.49,Quia dolores voluptatem cumque suscipit at quae odit.
ALLOC-5995e228,PROG-0c478853,Nairobi,budget,1948962,KES,2024-08-04,2024-11-07,manual,approved,,
ALLOC-fb1b4f26,PROG-0c478853,Nairobi,field_officer,1,officers,2024-10-17,2024-12-21,manual,approved,,
ALLOC-33219bf8,PROG-0c478853,Nairobi,field_officer,4,officers,2025-11-08,2026-02-15,manual,approved,,
ALLOC-60ba6d43,PROG-325861d4,Nairobi,field_officer,4,officers,2024-08-15,2024-10-16,manual,approved,,
ALLOC-576e1481,PROG-325861d4,Nairobi,budget,1347905,KES,2024-08-15,2024-10-16,manual,approved,,
ALLOC-905b26c4,PROG-325861d4,Nairobi,training_capacity,91,seats,2026-04-22,2026-08-18,manual,approved,,
ALLOC-c14b4d45,PROG-325861d4,Nairobi,budget,679235,KES,2026-04-22,2026-08-18,manual,approved,,
ALLOC-758edf7e,PROG-325861d4,Nairobi,training_capacity,73,seats,2024-04-20,2024-08-08,manual,approved,,
ALLOC-b5a029b4,PROG-325861d4,Nairobi,budget,1288233,KES,2024-04-20,2024-08-08,manual,approved,,
ALLOC-82d1dfb0,PROG-3f035d32,Nairobi,field_officer,1,officers,2026-05-14,2026-07-19,ml_recommended,rejected,81.61,Ipsum eaque dolorum architecto ducimus autem a harum.
ALLOC-a3d4d257,PROG-3f035d32,Nairobi,budget,1473189,KES,2026-05-14,2026-07-19,manual,approved,,
ALLOC-95481bf1,PROG-3f035d32,Nairobi,field_officer,3,officers,2026-02-22,2026-05-23,manual,approved,,
ALLOC-e1cd46bf,PROG-3f035d32,Nairobi,training_capacity,71,seats,2026-02-22,2026-05-23,manual,approved,,
ALLOC-3f7c860e,PROG-ae109715,Nairobi,field_officer,4,officers,2025-09-01,2025-11-15,ml_recommended,rejected,21.42,Voluptas sunt laudantium fugiat molestias aut laboriosam sint officiis.
ALLOC-f26e4c5b,PROG-ae109715,Nairobi,budget,687929,KES,2025-09-01,2025-11-15,ml_recommended,rejected,67.94,Cum asperiores sapiente eos eum veritatis asperiores.
ALLOC-2c4294aa,PROG-ae109715,Nairobi,field_officer,4,officers,2026-03-02,2026-05-15,ml_recommended,approved,71.02,Suscipit cum asperiores velit voluptatem excepturi.
ALLOC-434d1943,PROG-ae109715,Nairobi,training_capacity,31,seats,2026-03-02,2026-05-15,manual,approved,,
ALLOC-129687d5,PROG-ae109715,Nairobi,budget,1827989,KES,2026-03-02,2026-05-15,manual,approved,,
ALLOC-9c4848b1,PROG-ae109715,Nairobi,field_officer,3,officers,2025-02-02,2025-05-21,ml_recommended,approved,31.13,Tempora provident inventore officiis non ipsa amet ex voluptate illum mollitia.
ALLOC-edea3eca,PROG-ae109715,Nairobi,training_capacity,84,seats,2025-02-02,2025-05-21,manual,approved,,
ALLOC-15b0b5ca,PROG-ae109715,Nairobi,field_officer,2,officers,2025-03-14,2025-07-08,manual,approved,,
ALLOC-bf7a4e9c,PROG-e109788d,Nairobi,field_officer,3,officers,2025-02-07,2025-05-07,manual,approved,,
ALLOC-5f2fe4d6,PROG-e109788d,Nairobi,training_capacity,79,seats,2025-02-07,2025-05-07,manual,approved,,
ALLOC-41cba9bd,PROG-e109788d,Nairobi,budget,359780,KES,2025-02-07,2025-05-07,manual,approved,,
ALLOC-9374101e,PROG-e109788d,Nairobi,field_officer,4,officers,2025-05-25,2025-08-16,manual,approved,,
ALLOC-273c600c,PROG-e109788d,Nairobi,budget,833499,KES,2025-05-25,2025-08-16,manual,approved,,
ALLOC-92d6e4a5,PROG-e109788d,Nairobi,field_officer,1,officers,2026-03-26,2026-07-21,manual,approved,,
ALLOC-7dd2ec64,PROG-e109788d,Nairobi,training_capacity,40,seats,2026-03-26,2026-07-21,ml_recommended,approved,35.0,Eaque eligendi dolores amet nemo saepe corrupti facere incidunt eos.
ALLOC-316ec1b4,PROG-e109788d,Nairobi,budget,572094,KES,2026-03-26,2026-07-21,manual,approved,,
ALLOC-a5eded48,PROG-7bc39a8c,Nairobi,field_officer,1,officers,2026-03-23,2026-06-23,manual,approved,,
ALLOC-c3330075,PROG-7bc39a8c,Nairobi,training_capacity,42,seats,2026-03-23,2026-06-23,manual,approved,,
ALLOC-c138df88,PROG-7bc39a8c,Nairobi,budget,629301,KES,2026-03-23,2026-06-23,manual,approved,,
ALLOC-111c8b8d,PROG-7bc39a8c,Nairobi,training_capacity,74,seats,2026-01-29,2026-05-14,ml_recommended,rejected,52.13,Nobis dicta ad cupiditate eos aspernatur sapiente est id laudantium optio.
ALLOC-96d7cc5c,PROG-7bc39a8c,Nairobi,budget,733644,KES,2026-01-29,2026-05-14,manual,approved,,
ALLOC-651e9255,PROG-7bc39a8c,Nairobi,field_officer,5,officers,2026-03-17,2026-06-22,ml_recommended,rejected,78.76,Odit harum fuga fugit delectus.
ALLOC-45eda4c6,PROG-7bc39a8c,Nairobi,training_capacity,96,seats,2026-03-17,2026-06-22,manual,approved,,
ALLOC-45c7f9f1,PROG-7bc39a8c,Nairobi,budget,326711,KES,2026-03-17,2026-06-22,manual,approved,,
ALLOC-fdd1bce4,PROG-7bc39a8c,Nairobi,field_officer,3,officers,2026-02-14,2026-05-02,manual,approved,,
