audit_id,site,inspection_date,closed_date,compliance_score,finding_category,findings_detail,corrective_action,auditor,status
AUD-01335,SITE-005,2024-11-26,2024-12-12,80.9,Personnel Training,Heavy move table fast property.,Research write under them example cost movie pretty black science.,Robert Costa,Closed
AUD-00521,SITE-007,2024-02-08,2024-03-08,85.0,Leak Detection,Set compare that world term either discussion around exactly different.,Television kitchen style protect financial five perhaps attention top condition better.,Stephanie Williams,Closed
AUD-00524,SITE-005,2025-09-12,,96.4,Maintenance Backlog,Data true others raise since most help natural establish design run.,And keep last play left voice.,Kevin Waller,In Progress
AUD-01332,SITE-003,07/07/2026,2026-08-09,67.7,Documentation,Another project health at natural film.,Rest later reality as thousand.,Shannon Smith,Closed
AUD-01136,SITE-007,2024-10-06,,85.4,Safety Equipment,Anything true film option into along see military sometimes message decide represent.,,Heidi Zimmerman,Open
AUD-00463,SITE-004,2025-09-03,,97.5,Personnel Training,Night together off lead foot sure wall whose source break billion.,Increase alone table become attention none network serve until read onto.,Jason Chan,Open
AUD-01362,SITE-007,2025-11-08,2025-12-08,77.2,Emergency Response,Concern bag current kid somebody bag big help left theory class into art six go answer clear.,Agency capital green moment stage school raise education.,Stephanie Collins,Closed
AUD-02604,SITE-005,2024-09-28,10-Oct-2024,83.1,Personnel Training,Another must easy information garden common despite why beautiful wonder other this food maybe woman million see score art along feeling stay.,Peace bring set rise blood teacher seat.,Angela Smith,Closed
AUD-01558,SITE-001,2025-04-27,2025-05-27,81.8,Personnel Training,Deep present significant story radio personal fund care find more evening force set system character image carry protect.,High woman with believe point significant.,Thomas Fisher,Closed
AUD-02176,SITE-005,2026-06-09,2026-07-02,66.4,Emergency Response,The strategy matter during beautiful their full and sure east movement company account.,,Kirk Gray,Closed
AUD-01699,SITE-007,2024-03-10,2024-03-19,77.5,Containment Integrity,Organization evidence leg interesting so husband marriage business prevent car wrong enough.,,Michael Howell,Closed
AUD-01307,SITE-001,2026-02-26,2026-03-08T00:00:00Z,79.2,Emergency Response,Admit garden example cup forget dog product.,Serve see here every another rate why series miss.,David Moran,Closed
AUD-01319,SITE-006,19/08/2024,,64.8,Documentation,Maybe must son ready edge war part theory today reduce drug program wonder best seem study research standard.,Water group nothing free meet song film.,Kristin Jones,Open
