record_id,dataset,issue_type,detail
INC-00001,incidents,dirty_label:severity,Critical -> Crit
INC-00002,incidents,dirty_label:incident_type,Equipment Failure -> equipment failure
INC-00006,incidents,dirty_label:severity,Critical -> CRITICAL
INC-00006,incidents,future_date:incident_date,2026-08-01
INC-00007,incidents,dirty_label:severity,Critical -> crit
INC-00008,incidents,dirty_label:severity,Critical ->  Critical
INC-00010,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 25-May-2026
INC-00013,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 17-Oct-2023
INC-00016,incidents,missing_required_field:severity,
INC-00018,incidents,dirty_label:incident_type,Fire ->  fire
INC-00020,incidents,dirty_label:incident_type,Leak -> LEAK
INC-00020,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 21-Jun-2025
INC-00023,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 06/20/2024
INC-00025,incidents,dirty_label:incident_type,Equipment Failure -> Equipment  Failure
INC-00026,incidents,missing_required_field:severity,
INC-00026,incidents,missing_required_field:incident_type,
INC-00027,incidents,dirty_label:incident_type,Leak ->  Leak
INC-00028,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 10/10/2024
INC-00028,incidents,missing_required_field:incident_type,
INC-00030,incidents,invalid_coordinates,"coordinates (0,0)"
INC-00031,incidents,out_of_range:compliance_score,115.7
INC-00034,incidents,out_of_range:compliance_score,-0.5
INC-00036,incidents,dirty_label:severity,Low -> Lo
INC-00036,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2023-10-14T00:00:00Z
INC-00039,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 12/08/2023
INC-00040,incidents,dirty_label:incident_type,Equipment Failure -> Equip. Failure
INC-00040,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 21-Aug-2023
INC-00043,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 20-Jul-2025
INC-00047,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2025-01-07T00:00:00Z
INC-00051,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 03/23/2026
INC-00053,incidents,dirty_label:severity,High -> Hi
INC-00056,incidents,missing_required_field:incident_type,
INC-00057,incidents,dirty_label:severity,Critical -> Crit
INC-00058,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 04/10/2024
INC-00059,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2025-10-08T00:00:00Z
INC-00061,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2024-01-03T00:00:00Z
INC-00062,incidents,future_date:incident_date,2026-08-14
INC-00065,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 04-Feb-2024
INC-00067,incidents,dirty_label:severity,Low -> LOW
INC-00071,incidents,dirty_label:severity,Low -> low
INC-00071,incidents,dirty_label:incident_type,Leak ->  Leak
INC-00073,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 24-Aug-2024
INC-00077,incidents,missing_required_field:severity,
INC-00078,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2024-03-24T00:00:00Z
INC-00079,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 10/13/2024
INC-00081,incidents,future_date:incident_date,2026-09-12
INC-00084,incidents,future_date:incident_date,2026-08-10
INC-00088,incidents,missing_required_field:severity,
INC-00088,incidents,missing_required_field:incident_type,
INC-00092,incidents,dirty_label:severity,Critical -> critical
INC-00092,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 11/06/2023
INC-00094,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 28-Aug-2024
INC-00098,incidents,dirty_label:severity,Low ->  Low
INC-00101,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 04/22/2024
INC-00102,incidents,dirty_label:incident_type,Equipment Failure -> equipment failure
INC-00105,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 04/29/2025
INC-00108,incidents,dirty_label:severity,Low -> LOW
INC-00109,incidents,dirty_label:severity,High -> high
INC-00110,incidents,dirty_label:incident_type,Near Miss -> Near  Miss
INC-00111,incidents,dirty_label:severity,Medium -> Med
INC-00114,incidents,dirty_label:incident_type,Equipment Failure -> EQUIPMENT FAILURE
INC-00114,incidents,out_of_range:compliance_score,104.0
INC-00116,incidents,dirty_label:severity,Medium -> Med
INC-00116,incidents,missing_required_field:incident_type,
INC-00117,incidents,missing_required_field:severity,
INC-00118,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 12/12/2025
INC-00119,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2025-04-13T00:00:00Z
INC-00121,incidents,dirty_label:incident_type,Equipment Failure -> Equip. Failure
INC-00121,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 15-Oct-2023
INC-00121,incidents,future_date:incident_date,2026-09-21
INC-00122,incidents,out_of_range:compliance_score,-12.3
INC-00125,incidents,dirty_label:severity,Low -> Lo
INC-00125,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 11/25/2024
INC-00128,incidents,dirty_label:incident_type,Spill -> SPILL
INC-00135,incidents,missing_required_field:severity,
INC-00136,incidents,missing_required_field:severity,
INC-00137,incidents,dirty_label:incident_type,Leak -> Oil Leak
INC-00137,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 24-Aug-2024
INC-00138,incidents,dirty_label:incident_type,Equipment Failure -> EQUIPMENT FAILURE
INC-00140,incidents,missing_required_field:severity,
INC-00144,incidents,dirty_label:severity,Critical -> critical
INC-00149,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 11/08/2024
INC-00151,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 07/05/2025
INC-00153,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 30-Mar-2025
INC-00157,incidents,dirty_label:incident_type,Spill ->  spill 
INC-00159,incidents,dirty_label:incident_type,Leak -> leak
INC-00159,incidents,future_date:incident_date,2026-08-09
INC-00161,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2024-05-27T00:00:00Z
INC-00162,incidents,dirty_label:incident_type,Leak -> LEAK
INC-00163,incidents,future_date:incident_date,2026-10-19
INC-00164,incidents,dirty_label:severity,Medium -> Medium 
INC-00164,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 01/09/2026
INC-00165,incidents,dirty_label:incident_type,Leak -> leak 
INC-00168,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 23/08/2024
INC-00170,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 03/22/2024
INC-00171,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 04/11/2026
INC-00174,incidents,dirty_label:incident_type,Leak -> leak
INC-00175,incidents,dirty_label:incident_type,Equipment Failure -> equipment failure
INC-00176,incidents,dirty_label:severity,Medium -> Med
INC-00176,incidents,dirty_label:incident_type,Spill ->  spill 
INC-00177,incidents,dirty_label:severity,Critical -> crit
INC-00179,incidents,dirty_label:severity,Medium -> MEDIUM
INC-00180,incidents,invalid_coordinates,"coordinates (0,0)"
INC-00180,incidents,out_of_range:compliance_score,150.0
INC-00182,incidents,dirty_label:incident_type,Equipment Failure -> Equip. Failure
INC-00182,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 23/10/2025
INC-00187,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 11/19/2023
INC-00190,incidents,dirty_label:incident_type,Spill -> spill
INC-00196,incidents,invalid_coordinates,latitude=107.853653 > 90
INC-00196,incidents,dirty_label:incident_type,Leak -> Oil Leak
INC-00197,incidents,missing_required_field:severity,
INC-00203,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 10/15/2025
INC-00203,incidents,missing_required_field:severity,
INC-00204,incidents,missing_required_field:incident_type,
INC-00206,incidents,dirty_label:incident_type,Near Miss -> Near  Miss
INC-00210,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2024-04-14T00:00:00Z
INC-00210,incidents,missing_required_field:severity,
INC-00218,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 05/04/2026
INC-00219,incidents,dirty_label:severity,High -> Hi
INC-00219,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 13-Feb-2024
INC-00219,incidents,missing_required_field:incident_type,
INC-00220,incidents,dirty_label:incident_type,Leak -> leak 
INC-00224,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 02/07/2026
INC-00226,incidents,dirty_label:severity,Medium -> medium
INC-00226,incidents,missing_required_field:incident_type,
INC-00228,incidents,missing_required_field:severity,
INC-00232,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 02-Apr-2026
INC-00233,incidents,dirty_label:incident_type,Leak ->  Leak
INC-00237,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 23/02/2024
INC-00240,incidents,dirty_label:incident_type,Spill ->  spill 
INC-00242,incidents,dirty_label:incident_type,Fire -> Fire 
INC-00243,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2024-05-18T00:00:00Z
INC-00244,incidents,dirty_label:severity,High -> HIGH
INC-00245,incidents,dirty_label:severity,High -> high
INC-00245,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 05/08/2026
INC-00246,incidents,dirty_label:severity,Medium -> Medium 
INC-00246,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 02/05/2025
INC-00247,incidents,dirty_label:incident_type,Spill -> spill
INC-00251,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 04/25/2025
INC-00251,incidents,missing_required_field:incident_type,
INC-00253,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2026-07-12T00:00:00Z
INC-00260,incidents,dirty_label:severity,Medium ->  medium
INC-00262,incidents,dirty_label:severity,Low -> low 
INC-00265,incidents,dirty_label:incident_type,Fire -> fire
INC-00266,incidents,out_of_range:compliance_score,115.7
INC-00267,incidents,missing_required_field:severity,
INC-00268,incidents,missing_required_field:severity,
INC-00269,incidents,dirty_label:incident_type,Near Miss -> near-miss
INC-00273,incidents,dirty_label:incident_type,Equipment Failure -> equipment failure
INC-00276,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 04-Jun-2026
INC-00276,incidents,missing_required_field:incident_type,
INC-00278,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 12/25/2024
INC-00279,incidents,dirty_label:incident_type,Fire -> FIRE
INC-00280,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 01/21/2024
INC-00283,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2025-11-18T00:00:00Z
INC-00287,incidents,future_date:incident_date,2026-10-08
INC-00288,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2024-07-10T00:00:00Z
INC-00289,incidents,dirty_label:severity,Critical ->  Critical
INC-00296,incidents,dirty_label:severity,High -> high
INC-00296,incidents,dirty_label:incident_type,Spill -> Minor Spill
INC-00299,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 19-Dec-2024
INC-00301,incidents,missing_required_field:severity,
INC-00307,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2025-05-02T00:00:00Z
INC-00310,incidents,dirty_label:incident_type,Near Miss -> near miss
INC-00310,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 08/29/2023
INC-00311,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2024-11-11T00:00:00Z
INC-00311,incidents,missing_required_field:incident_type,
INC-00314,incidents,dirty_label:incident_type,Near Miss -> near-miss
INC-00318,incidents,dirty_label:incident_type,Equipment Failure -> Equipment  Failure
INC-00319,incidents,dirty_label:incident_type,Near Miss -> NEAR MISS
INC-00320,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 10/04/2023
INC-00323,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 05/03/2024
