incident_id,site,latitude,longitude,incident_date,incident_type,severity,compliance_score,description,root_cause,response_time_hours,status
INC-03207,SITE-006,0.065714,35.421689,2025-01-15,Equipment Failure,Medium,80.1,Most receive method concern close office future high some beautiful somebody.,Corrosion,2.0,Under Investigation
INC-00396,SITE-007,-0.12346,34.748888,2026-02-13,Spill,Medium,75.7,Effect cause yes development act vote marriage thus bring set while successful room Mr war.,Material Fatigue,8.7,Open
INC-01543,SITE-003,-2.318767,37.864662,03-Mar-2026,Leak,High,61.9,None get population within factor expect institution age value collection research.,Valve Failure,2.8,Under Investigation
INC-03788,SITE-001,-1.272336,36.806292,2025-07-20,Fire,,62.7,Perhaps power foot what white among usually.,Valve Failure,15.9,Open
INC-03240,SITE-005,0.527108,35.245901,03/12/2024, Leak,High,50.7,Summer where you bad build can per very instead democratic including very administration.,Corrosion,10.9,Open
INC-05542,SITE-003,-2.265003,37.827847,2023-08-10,Fire,Low,90.0,Base himself that chair green remember us partner.,Valve Failure,20.0,Closed
INC-02469,SITE-002,-4.078485,39.654287,2025-05-12,Equipment Failure,Medium,74.1,Mr ball low goal agreement develop husband smile she each enjoy step.,Operator Error,2.6,Closed
INC-00058,SITE-005,0.491001,35.294065,04/10/2024,Leak,Low,97.7,Common give practice hair.,Third-party Damage,0.4,Closed
INC-04475,SITE-002,-4.059105,39.662027,2025-11-08,Leak,Low,75.7,Modern under agency himself cover speech program win sure none.,Valve Failure,1.8,Open
INC-04477,SITE-007,-0.082307,34.77636,2023-12-18,Equip. Failure,Medium,81.2,Much exist writer political democratic according concern radio pick investment effort begin cold key choice.,Material Fatigue,5.4,Open
INC-01932,SITE-002,-4.029582,39.686544,2024-09-28,Near Miss,Medium,76.0,Thing wind act contain nor far loss scene boy.,Valve Failure,12.1,Open
INC-03488,SITE-001,-1.278539,36.801414,08/06/2025,Near  Miss,Low,82.7,Buy name unit though white main artist form out present.,,12.6,Under Investigation
INC-01695,SITE-007,-0.084844,34.777818,2023-10-27,Near Miss,Medium,73.6,Simply follow never into black peace can.,Valve Failure,6.6,Under Investigation
INC-04252,SITE-001,-1.281905,36.842662,2025-10-09,Near Miss,Medium,79.6,Name board style particular more staff animal argue possible enjoy sing.,Material Fatigue,7.9,Open
INC-02466,SITE-003,-2.277683,37.82555,2024-10-13,Equipment  Failure,Critical,51.1,Good itself above way herself later line control number.,,3.9,Under Investigation
INC-04755,SITE-003,-2.304581,37.834009,2023-08-02,Leak,Critical,42.8,Entire could individual wonder to expect.,Operator Error,14.3,Closed
INC-02460,SITE-007,-0.082327,34.781275,2025-09-21,Leak,Critical,37.3,Perhaps stand develop need suddenly.,Operator Error,3.3,Closed
INC-04134,SITE-004,-0.28213,36.108823,2023-08-23,Near Miss,Low,80.4,Phone model right friend set.,Sensor Malfunction,7.5,Closed
INC-02957,SITE-003,-2.318594,37.864201,2025-02-16,Equipment Failure,Critical,45.3,Simply run player risk peace whole sense probably discuss morning.,Material Fatigue,18.8,Open
INC-04848,SITE-004,-0.2868,36.090298,2025-02-07,Near Miss,Low,83.4,Respond wind along campaign against thus new your pay two gas specific assume whether.,Third-party Damage,6.2,Open
INC-04148,SITE-006,0.020926,35.424213,2024-02-25,Spill,High,48.9,Art develop agency him buy involve agree focus three style happy color like improve.,,4.5,Closed
INC-04436,SITE-003,-2.318476,37.874183,2026-07-10,Spill,High,56.5,Approach teacher reflect start already.,Valve Failure,2.7,Open
INC-00513,SITE-006,0.06658,35.466233,2026-05-22,Fire,High,51.4,Subject hard hold data cover moment work road.,Sensor Malfunction,12.5,Open
