reading_id,timestamp,site,pipeline_section,pressure_psi,flow_rate_bph,temperature_celsius,valve_status,sensor_id
TEL-003864,2026-07-01T04:47:31,SITE-006,Section F — Kisumu Terminal Link,397.9,2194.6,28.9,Partially Open,SNS-011
TEL-003881,2026-07-01T11:34:42,SITE-003,Section F — Kisumu Terminal Link,391.1,2779.6,36.8,Open,SNS-009
TEL-004225,2026-07-08T07:52:27,SITE-001,Section A — Mombasa-Nairobi Main,315.9,2618.2,32.0,Closed,SNS-002
TEL-002273,2026-06-02T06:37:41,makueni section,Section D — Sinendet Lateral,286.1,2396.4,26.5,Open,SNS-008
TEL-002813,2026-06-12T01:43:26,SITE-004,Section A — Mombasa-Nairobi Main,481.1,,25.5,Partially Open,SNS-014
TEL-004202,2026-07-07T21:49:10,SITE-005,Section E — Makueni Branch,527.4,3407.9,33.6,Closed,SNS-009
TEL-002760,2026-06-11T07:04:21,SITE-004,Section B — Nairobi-Nakuru Spur,356.8,3481.5,25.0,Closed,SNS-001
TEL-000615,2026-05-03T15:28:01,SITE-006,Section F — Kisumu Terminal Link,292.1,3694.4,19.5,Partially Open,SNS-009
TEL-003247,2026-06-19T16:53:13,SITE-006,Section E — Makueni Branch,380.6,2454.2,20.7,Open,SNS-011
TEL-004419,2026-07-11T19:47:32,SITE-007,Section B — Nairobi-Nakuru Spur,,3702.7,26.9,Open,SNS-006
TEL-004463,2026-07-12T10:44:44,SITE-005,Section B — Nairobi-Nakuru Spur,503.6,2365.7,23.6,Open,SNS-005
TEL-000877,2026-05-08T08:35:45,SITE-001,Section E — Makueni Branch,403.1,2949.2,38.4,Open,SNS-002
TEL-003579,2026-06-25T17:09:41,SITE-003,Section C — Nakuru-Eldoret Extension,431.9,2108.3,24.7,Open,SNS-003
TEL-002076,2026-05-29T19:06:42,SITE-003,Section D — Sinendet Lateral,351.7,3959.5,39.5,Open,SNS-006
TEL-003190,2026-06-18T14:34:52,SITE-005,Section C — Nakuru-Eldoret Extension,519.2,3417.7,26.6,Partially Open,SNS-014
TEL-004579,2026-07-14T08:55:13,SITE-005,Section A — Mombasa-Nairobi Main,506.1,2740.4,26.3,Open,SNS-011
TEL-001132,2026-05-13T04:49:12,SITE-001,Section B — Nairobi-Nakuru Spur,363.5,1720.5,21.7,Closed,SNS-009
TEL-004148,2026-07-06T19:51:56,SITE-004,Section D — Sinendet Lateral,523.1,2867.0,35.8,Open,SNS-001
TEL-000302,2026-04-28T09:02:40,SITE-006,Section D — Sinendet Lateral,252.9,2370.5,37.7,Open,SNS-007
TEL-000307,2026-04-28T10:47:02,SITE-006,Section B — Nairobi-Nakuru Spur,351.1,3362.5,29.0,Open,SNS-014
TEL-004797,2026-07-17T17:34:42,SITE-006,Section B — Nairobi-Nakuru Spur,378.5,4113.5,28.0,Open,SNS-013
TEL-004576,2026-07-14T07:34:35,SITE-007,Section C — Nakuru-Eldoret Extension,313.8,2564.9,29.3,Open,SNS-013
TEL-003133,2026-06-17T17:00:36,SITE-007,Section A — Mombasa-Nairobi Main,427.5,3287.0,26.5,Open,SNS-012
TEL-003623,2026-06-26T13:38:04,SITE-001,Section D — Sinendet Lateral,371.8,2787.5,32.4,Open,SNS-007
TEL-001193,2026-05-14T07:17:35,SITE-001,Section A — Mombasa-Nairobi Main,422.1,2456.3,31.7,Closed,SNS-007
TEL-000145,2026-04-25T09:02:30,SITE-002,Section F — Kisumu Terminal Link,309.7,3312.0,43.0,Closed,SNS-006
TEL-000291,2026-04-28T04:28:08,SITE-004,Section C — Nakuru-Eldoret Extension,352.5,4159.9,34.2,Open,SNS-001
TEL-002659,2026-06-09T14:12:37,SITE-004,Section F — Kisumu Terminal Link,278.9,4689.5,35.9,Closed,SNS-007
TEL-003117,2026-06-17T11:30:54,SITE-003,Section A — Mombasa-Nairobi Main,429.2,,25.0,Open,SNS-012
TEL-003995,2026-07-03T23:37:05,SITE-002,Section D — Sinendet Lateral,410.6,2649.9,36.5,Open,SNS-004
TEL-003958,2026-07-03T02:29:49,SITE-005,Section C — Nakuru-Eldoret Extension,387.1,2008.2,15.0,Open,SNS-009
TEL-000762,2026-05-06T08:02:02,SITE-001,Section F — Kisumu Terminal Link,227.6,1744.8,28.3,Open,SNS-007
TEL-004322,2026-07-09T19:05:59,SITE-001,Section B — Nairobi-Nakuru Spur,366.2,3351.6,18.8,Closed,SNS-008
TEL-003853,2026-06-30T22:23:57,SITE-004,Section C — Nakuru-Eldoret Extension,463.5,3943.0,36.2,Closed,SNS-012
TEL-004184,2026-07-07T14:25:49,SITE-003,Section A — Mombasa-Nairobi Main,421.9,3094.2,20.5,Open,SNS-008
TEL-004878,2026-07-19T09:54:53,SITE-004,Section D — Sinendet Lateral,340.6,2989.1,,Open,SNS-014
TEL-002698,2026-06-10T08:55:38,SITE-007,Section C — Nakuru-Eldoret Extension,301.6,3941.0,33.5,Open,SNS-004
TEL-001060,2026-05-11T18:22:02,Kisumu term,Section A — Mombasa-Nairobi Main,402.9,1840.3,39.9,Open,SNS-011
TEL-002742,2026-06-11T00:13:05,SITE-004,Section B — Nairobi-Nakuru Spur,400.7,2395.3,35.5,Open,SNS-013
TEL-001213,2026-05-14T16:27:42,MSA Terminal,Section F — Kisumu Terminal Link,422.2,3289.4,20.6,Open,SNS-008
TEL-001882,2026-05-26T02:48:01,NAKURU,Section F — Kisumu Terminal Link,424.7,3755.7,24.4,Closed,SNS-009
TEL-003858,2026-07-01T00:35:40,SITE-006,Section F — Kisumu Terminal Link,576.6,1772.3,30.1,Partially Open,SNS-011
TEL-002484,2026-06-06T09:50:21,SITE-004,Section F — Kisumu Terminal Link,494.7,3784.3,31.5,Partially Open,SNS-001
TEL-000814,2026-05-07T07:11:31,SITE-005,Section F — Kisumu Terminal Link,422.2,2927.9,32.9,Open,SNS-012
TEL-003137,2026-06-17T17:36:26,SITE-004,Section B — Nairobi-Nakuru Spur,308.9,1920.2,24.0,Closed,SNS-014
TEL-004836,2026-07-18T12:31:32,SITE-002,Section E — Makueni Branch,383.6,3747.0,30.8,Open,SNS-003
TEL-002562,2026-06-07T18:22:45,sinendet pump,Section F — Kisumu Terminal Link,353.2,2068.8,31.8,Open,SNS-014
TEL-001382,2026-05-17T09:00:57,SITE-004,Section D — Sinendet Lateral,573.1,,33.4,Open,SNS-010
TEL-000284,2026-04-28T01:10:17,SITE-003,Section D — Sinendet Lateral,405.4,2924.9,41.8,Open,SNS-001
TEL-003893,2026-07-01T18:03:04,SITE-001,Section A — Mombasa-Nairobi Main,453.3,4596.3,41.1,Closed,SNS-002
TEL-002946,2026-06-14T05:24:22,SITE-001,Section A — Mombasa-Nairobi Main,335.7,3829.0,27.7,Closed,SNS-012
TEL-003982,2026-07-03T15:41:04,SITE-001,Section F — Kisumu Terminal Link,409.6,2443.3,31.4,Open,SNS-002
TEL-002848,2026-06-12T14:14:57,SITE-003,Section C — Nakuru-Eldoret Extension,450.7,2982.7,26.4,Open,SNS-011
TEL-000039,2026-04-23T16:21:19,SITE-005,Section E — Makueni Branch,374.1,2659.9,33.4,Open,SNS-001
TEL-001654,2026-05-22T04:10:53,NKR Depot,Section A — Mombasa-Nairobi Main,429.6,3685.1,30.4,Open,SNS-002
TEL-000485,2026-05-01T10:38:17,NAIROBI,Section A — Mombasa-Nairobi Main,379.0,2450.9,26.8,Partially Open,SNS-008
TEL-001645,2026-05-22T01:25:05,SITE-006,Section C — Nakuru-Eldoret Extension,348.3,3644.5,30.4,Open,SNS-007
TEL-003089,2026-06-17T01:07:09,ELD Terminal,Section E — Makueni Branch,419.2,3384.2,29.6,Open,SNS-005
TEL-000384,2026-04-29T14:28:18,Kisumu term,Section B — Nairobi-Nakuru Spur,226.3,2270.3,31.0,Partially Open,SNS-014
TEL-000855,2026-05-07T22:13:40,SITE-003,Section B — Nairobi-Nakuru Spur,408.1,2273.0,21.3,Partially Open,SNS-010
TEL-003792,2026-06-29T14:41:16,Mombasa term,Section D — Sinendet Lateral,511.3,3576.0,30.2,Open,SNS-001
TEL-003755,2026-06-28T23:42:15,SITE-003,Section D — Sinendet Lateral,366.7,2887.9,,Closed,SNS-012
TEL-001397,2026-05-17T14:11:51,SITE-006,Section C — Nakuru-Eldoret Extension,267.5,3665.3,32.8,Partially Open,SNS-001
TEL-001597,2026-05-21T04:38:23,SITE-006,Section B — Nairobi-Nakuru Spur,490.4,4069.8,33.6,Closed,SNS-010
TEL-001589,2026-05-20T23:43:31,SITE-004,Section F — Kisumu Terminal Link,422.5,2526.4,32.3,Open,SNS-006
TEL-003596,2026-06-25T23:13:12,SITE-006,Section A — Mombasa-Nairobi Main,347.8,2839.4,32.3,Open,SNS-002
TEL-002862,2026-06-12T20:47:36,SITE-004,Section B — Nairobi-Nakuru Spur,531.3,3441.6,23.8,Partially Open,SNS-013
TEL-002432,2026-06-05T07:16:32,Thange section,Section C — Nakuru-Eldoret Extension,437.1,2443.6,28.3,Partially Open,SNS-004
TEL-001189,2026-05-14T03:57:10,SITE-007,Section F — Kisumu Terminal Link,527.8,3242.7,33.0,Partially Open,SNS-006
TEL-000924,2026-05-09T06:38:58,kisumu terminal,Section B — Nairobi-Nakuru Spur,334.9,3843.2,26.1,Closed,SNS-009
TEL-001796,2026-05-24T11:12:02,SITE-005,Section E — Makueni Branch,466.2,3041.1,31.7,Closed,SNS-007
TEL-004286,2026-07-09T05:37:39,sinendet pump,Section E — Makueni Branch,395.7,3433.4,32.4,Partially Open,SNS-006
TEL-002895,2026-06-13T07:52:50,SITE-005,Section D — Sinendet Lateral,424.9,2646.6,33.0,Closed,SNS-007
TEL-003282,2026-06-20T07:02:42,SITE-001,Section E — Makueni Branch,367.1,2422.5,35.6,Open,SNS-003
TEL-001627,2026-05-21T18:45:42,SITE-004,Section E — Makueni Branch,275.5,1823.1,24.9,Closed,SNS-001
TEL-002193,2026-05-31T21:48:36,SITE-004,Section F — Kisumu Terminal Link,438.1,3691.3,33.6,Open,SNS-008
TEL-004956,2026-07-20T23:36:34,SITE-002,Section E — Makueni Branch,274.2,2399.1,38.2,Closed,SNS-010
TEL-000378,2026-04-29T13:00:59,SITE-003,Section A — Mombasa-Nairobi Main,200.0,2625.6,32.8,Open,SNS-011
TEL-003101,2026-06-17T06:25:54,SITE-005,Section F — Kisumu Terminal Link,322.9,2860.3,29.8,Open,SNS-012
TEL-002492,2026-06-06T14:32:55,SITE-006,Section F — Kisumu Terminal Link,329.7,2601.3,28.1,Partially Open,SNS-011
TEL-002606,2026-06-08T15:12:39,SITE-002,Section D — Sinendet Lateral,337.7,3690.2,31.3,Closed,SNS-003
TEL-000546,2026-05-02T14:42:42,SITE-003,Section B — Nairobi-Nakuru Spur,396.9,3566.6,27.6,Open,SNS-011
TEL-003199,2026-06-18T19:12:40,SITE-003,Section D — Sinendet Lateral,506.3,3232.0,30.4,Partially Open,SNS-005
TEL-004826,2026-07-18T06:32:55,SITE-006,Section A — Mombasa-Nairobi Main,571.2,3145.8,33.9,Open,SNS-008
TEL-001811,2026-05-24T19:18:08,SITE-003,Section A — Mombasa-Nairobi Main,420.0,1648.6,35.3,Closed,SNS-009
TEL-003913,2026-07-02T04:52:28,SITE-006,Section F — Kisumu Terminal Link,489.9,4656.6,24.0,Open,SNS-001
TEL-001352,2026-05-17T01:01:45,Mombasa  Terminal,Section B — Nairobi-Nakuru Spur,390.1,2699.3,27.7,Open,SNS-010
TEL-003564,2026-06-25T10:43:03,Kisumu  Terminal,Section A — Mombasa-Nairobi Main,299.6,3643.6,27.8,Open,SNS-002
TEL-002051,2026-05-29T09:48:11,SITE-006,Section C — Nakuru-Eldoret Extension,236.3,2033.8,24.6,Open,SNS-004
TEL-000563,2026-05-02T21:02:24,SITE-001,Section E — Makueni Branch,416.7,1843.9,33.2,Open,SNS-004
TEL-003945,2026-07-02T19:35:45,SITE-002,Section F — Kisumu Terminal Link,461.2,2908.3,37.9,Open,SNS-003
TEL-000335,2026-04-28T23:12:25,Kibwezi,Section B — Nairobi-Nakuru Spur,495.8,3788.0,32.7,Open,SNS-009
TEL-003509,2026-06-24T11:40:15,SITE-003,Section C — Nakuru-Eldoret Extension,236.5,3128.8,25.2,Closed,SNS-011
TEL-003791,2026-06-29T14:35:47,SITE-005,Section A — Mombasa-Nairobi Main,536.6,1993.2,24.6,Open,SNS-010
TEL-004441,2026-07-12T03:23:16,SITE-003,Section C — Nakuru-Eldoret Extension,442.6,2678.9,37.6,Open,SNS-005
TEL-001571,2026-05-20T15:45:28,SITE-004,Section B — Nairobi-Nakuru Spur,464.9,2557.5,30.3,Partially Open,SNS-010
TEL-004770,2026-07-17T06:20:00,MAKUENI,Section A — Mombasa-Nairobi Main,456.8,4066.6,39.8,Partially Open,SNS-001
TEL-000112,2026-04-24T20:24:25,SITE-006,Section E — Makueni Branch,331.4,3397.1,30.7,Open,SNS-002
TEL-000134,2026-04-25T04:44:15,sinendet pump station,Section C — Nakuru-Eldoret Extension,294.9,4370.5,21.9,Partially Open,SNS-008
TEL-002206,2026-06-01T02:17:44,SITE-003,Section C — Nakuru-Eldoret Extension,337.4,3411.3,31.1,Closed,SNS-010
TEL-002739,2026-06-11T00:03:14,SITE-005,Section A — Mombasa-Nairobi Main,512.3,1057.0,23.6,Closed,SNS-006
TEL-004010,2026-07-04T05:25:14,SITE-007,Section C — Nakuru-Eldoret Extension,292.9,3073.8,34.0,Open,SNS-007
TEL-001137,2026-05-13T09:27:13,SITE-004,Section E — Makueni Branch,389.8,1812.8,20.7,Closed,SNS-014
TEL-002356,2026-06-03T19:23:59,SITE-005,Section D — Sinendet Lateral,700,2756.6,33.7,Partially Open,SNS-002
TEL-002838,2026-06-12T09:05:10,SITE-004,Section B — Nairobi-Nakuru Spur,217.6,2603.4,33.6,Open,SNS-008
TEL-002569,2026-06-07T20:41:19,Nairobi  Terminal,Section E — Makueni Branch,406.2,4186.5,34.8,Open,SNS-013
